#OTU	dummy
OTU.154	1
OTU.46	1
OTU.518	1
OTU.11491	1
OTU.2423	1
OTU.1820	1
OTU.5826	1
OTU.7476	1
OTU.2480	1
OTU.22263	1
OTU.2205	1
OTU.4234	1
OTU.766	1
OTU.1614	1
OTU.3032	1
OTU.8	1
OTU.40	1
OTU.12	1
OTU.97	1
OTU.15	1
OTU.676	1
OTU.7	1
OTU.426	1
OTU.1	1
OTU.18	1
OTU.2977	1
OTU.566	1
OTU.223	1
OTU.35	1
OTU.33	1
OTU.32	1
OTU.1187	1
OTU.26	1
OTU.2295	1
OTU.301	1
OTU.10513	1
OTU.585	1
OTU.23	1
OTU.70	1
OTU.29	1
OTU.1197	1
OTU.83	1
OTU.225	1
OTU.1904	1
OTU.251	1
OTU.1785	1
OTU.1206	1
OTU.193	1
OTU.28831	1
OTU.88	1
OTU.837	1
OTU.16149	1
OTU.148	1
OTU.27698	1
OTU.358	1
OTU.280	1
OTU.44	1
OTU.3272	1
OTU.1431	1
OTU.626	1
OTU.1893	1
OTU.195	1
OTU.104	1
OTU.1567	1
OTU.1149	1
OTU.255	1
OTU.2513	1
OTU.897	1
OTU.1549	1
OTU.7005	1
OTU.4842	1
OTU.11397	1
OTU.1629	1
OTU.947	1
OTU.1366	1
OTU.1499	1
OTU.7331	1
OTU.3294	1
OTU.19316	1
OTU.3826	1
OTU.1323	1
OTU.3332	1
OTU.1085	1
OTU.21019	1
OTU.26175	1
OTU.1982	1
OTU.113	1
OTU.2285	1
OTU.161	1
OTU.22	1
OTU.544	1
OTU.9512	1
OTU.54	1
OTU.5	1
OTU.100	1
OTU.24	1
OTU.79	1
OTU.48	1
OTU.6799	1
OTU.165	1
OTU.74	1
OTU.2	1
OTU.268	1
OTU.98	1
OTU.1990	1
OTU.118	1
OTU.121	1
OTU.386	1
OTU.143	1
OTU.111	1
OTU.14717	1
OTU.159	1
OTU.30	1
OTU.96	1
OTU.42	1
OTU.63	1
OTU.497	1
OTU.53	1
OTU.213	1
OTU.64	1
OTU.16	1
OTU.106	1
OTU.152	1
OTU.130	1
OTU.230	1
OTU.187	1
OTU.343	1
OTU.58	1
OTU.2422	1
OTU.520	1
OTU.32089	1
OTU.629	1
OTU.941	1
OTU.1717	1
OTU.137	1
OTU.791	1
OTU.2097	1
OTU.25820	1
OTU.20488	1
OTU.656	1
OTU.15211	1
OTU.927	1
OTU.336	1
OTU.1601	1
OTU.528	1
OTU.263	1
OTU.1148	1
OTU.7582	1
OTU.32605	1
OTU.653	1
OTU.21236	1
OTU.6317	1
OTU.57	1
OTU.402	1
OTU.609	1
OTU.35340	1
OTU.18622	1
OTU.8035	1
OTU.363	1
OTU.9283	1
OTU.866	1
OTU.564	1
OTU.18884	1
OTU.18160	1
OTU.35766	1
OTU.1031	1
OTU.194	1
OTU.6557	1
OTU.396	1
OTU.1183	1
OTU.1146	1
OTU.424	1
OTU.279	1
OTU.20161	1
OTU.546	1
OTU.1926	1
OTU.1317	1
OTU.1680	1
OTU.908	1
OTU.492	1
OTU.557	1
OTU.1304	1
OTU.1743	1
OTU.376	1
OTU.1610	1
OTU.1067	1
OTU.23495	1
OTU.1557	1
OTU.25336	1
OTU.1543	1
OTU.9846	1
OTU.11334	1
OTU.3408	1
OTU.9434	1
OTU.2499	1
OTU.4676	1
OTU.11564	1
OTU.3922	1
OTU.18161	1
OTU.17911	1
OTU.3802	1
OTU.4114	1
OTU.2837	1
OTU.102	1
OTU.481	1
OTU.163	1
OTU.4	1
OTU.11	1
OTU.94	1
OTU.49	1
OTU.951	1
OTU.284	1
OTU.10	1
OTU.252	1
OTU.34	1
OTU.212	1
OTU.81	1
OTU.66	1
OTU.3313	1
OTU.67	1
OTU.1239	1
OTU.1407	1
OTU.144	1
OTU.468	1
OTU.377	1
OTU.133	1
OTU.214	1
OTU.1244	1
OTU.198	1
OTU.3023	1
OTU.331	1
OTU.679	1
OTU.346	1
OTU.60	1
OTU.184	1
OTU.226	1
OTU.298	1
OTU.183	1
OTU.20	1
OTU.221	1
OTU.101	1
OTU.55	1
OTU.259	1
OTU.37	1
OTU.185	1
OTU.337	1
OTU.52	1
OTU.364	1
OTU.344	1
OTU.222	1
OTU.260	1
OTU.2773	1
OTU.474	1
OTU.634	1
OTU.8449	1
OTU.1878	1
OTU.166	1
OTU.4771	1
OTU.698	1
OTU.95	1
OTU.123	1
OTU.247	1
OTU.3062	1
OTU.76	1
OTU.254	1
OTU.8660	1
OTU.50	1
OTU.239	1
OTU.312	1
OTU.319	1
OTU.429	1
OTU.174	1
OTU.73	1
OTU.34547	1
OTU.728	1
OTU.240	1
OTU.18240	1
OTU.1834	1
OTU.1192	1
OTU.17	1
OTU.1196	1
OTU.158	1
OTU.10199	1
OTU.253	1
OTU.297	1
OTU.208	1
OTU.248	1
OTU.1225	1
OTU.351	1
OTU.75	1
OTU.282	1
OTU.422	1
OTU.381	1
OTU.727	1
OTU.784	1
OTU.325	1
OTU.262	1
OTU.28180	1
OTU.1560	1
OTU.14122	1
OTU.794	1
OTU.673	1
OTU.140	1
OTU.417	1
OTU.1445	1
OTU.15751	1
OTU.1524	1
OTU.1684	1
